split,evaluation_protocol,eval_kind,seed,rep,level,axis,predictor,line,n,tau,tau_used,c_index,brier
legacy_reused_holdout,1,bestCI,1,1,0.5,gamma,oracle,3,438,12.0,12.0,0.6935523986943709,0.1427834078927898
legacy_reused_holdout,1,bestCI,1,1,0.5,gamma,naive_km,3,438,12.0,12.0,0.5486903335137366,0.1784102864788053
legacy_reused_holdout,1,bestCI,1,1,0.5,gamma,dynasurv,4,198,12.0,12.0,0.649434084931707,0.1427639684869527
legacy_reused_holdout,1,bestCI,1,1,0.5,gamma,oracle,4,198,12.0,12.0,0.7138108556074004,0.1201749912291205
legacy_reused_holdout,1,bestCI,1,1,0.5,gamma,naive_km,4,198,12.0,12.0,0.5109002917446579,0.1613734140264457
legacy_reused_holdout,1,bestCI,2,2,0.5,gamma,dynasurv,1,1977,24.0,24.0,0.6718876073518368,0.1611171226147565
legacy_reused_holdout,1,bestCI,2,2,0.5,gamma,oracle,1,1977,24.0,24.0,0.7282937927678026,0.1386317849957843
legacy_reused_holdout,1,bestCI,2,2,0.5,gamma,naive_km,1,1977,24.0,24.0,0.565395556888139,0.1780511759652771
legacy_reused_holdout,1,bestCI,2,2,0.5,gamma,dynasurv,2,840,18.0,18.0,0.701863612470521,0.1314415427987581
legacy_reused_holdout,1,bestCI,2,2,0.5,gamma,oracle,2,840,18.0,18.0,0.7392805697751854,0.1210947298804086
legacy_reused_holdout,1,bestCI,2,2,0.5,gamma,naive_km,2,840,18.0,18.0,0.5717102587320841,0.1644733814586295
legacy_reused_holdout,1,bestCI,2,2,0.5,gamma,dynasurv,3,438,12.0,12.0,0.6649440381142122,0.1581385397674747
legacy_reused_holdout,1,bestCI,2,2,0.5,gamma,oracle,3,438,12.0,12.0,0.7200650858431809,0.1398700338917811
legacy_reused_holdout,1,bestCI,2,2,0.5,gamma,naive_km,3,438,12.0,12.0,0.5671586109968071,0.1752663083358225
legacy_reused_holdout,1,bestCI,2,2,0.5,gamma,dynasurv,4,198,12.0,12.0,0.6603925777489592,0.1328352249058757
legacy_reused_holdout,1,bestCI,2,2,0.5,gamma,oracle,4,198,12.0,12.0,0.710575569152122,0.1180641619719708
legacy_reused_holdout,1,bestCI,2,2,0.5,gamma,naive_km,4,198,12.0,12.0,0.4758021736654264,0.1597119565319132
legacy_reused_holdout,1,bestCI,0,0,1.0,gamma,dynasurv,1,1977,24.0,24.0,0.6787813340982576,0.1752273513910751
legacy_reused_holdout,1,bestCI,0,0,1.0,gamma,oracle,1,1977,24.0,24.0,0.730069207732678,0.135782181263413
legacy_reused_holdout,1,bestCI,0,0,1.0,gamma,naive_km,1,1977,24.0,24.0,0.5390357962756135,0.1729079109007057
legacy_reused_holdout,1,bestCI,0,0,1.0,gamma,dynasurv,2,840,18.0,18.0,0.6523643982596449,0.1545271615870263
legacy_reused_holdout,1,bestCI,0,0,1.0,gamma,oracle,2,840,18.0,18.0,0.702973408326167,0.1382312019868167
legacy_reused_holdout,1,bestCI,0,0,1.0,gamma,naive_km,2,840,18.0,18.0,0.5820377870261667,0.1796535814285692
legacy_reused_holdout,1,bestCI,0,0,1.0,gamma,dynasurv,3,438,12.0,12.0,0.6770351853611846,0.142830927208547
legacy_reused_holdout,1,bestCI,0,0,1.0,gamma,oracle,3,438,12.0,12.0,0.7024333526743197,0.1348521988249736
legacy_reused_holdout,1,bestCI,0,0,1.0,gamma,naive_km,3,438,12.0,12.0,0.565934289932631,0.1688612580782916
legacy_reused_holdout,1,bestCI,0,0,1.0,gamma,dynasurv,4,198,12.0,12.0,0.6865846894649771,0.1113145452986057
legacy_reused_holdout,1,bestCI,0,0,1.0,gamma,oracle,4,198,12.0,12.0,0.746940878316023,0.1056522618210571
legacy_reused_holdout,1,bestCI,0,0,1.0,gamma,naive_km,4,198,12.0,12.0,0.5428258768696138,0.1507685553795047
legacy_reused_holdout,1,bestCI,1,1,1.0,gamma,dynasurv,1,1977,24.0,24.0,0.6876844281353379,0.1643340015336485
legacy_reused_holdout,1,bestCI,1,1,1.0,gamma,oracle,1,1977,24.0,24.0,0.7303096201480814,0.1365598321029129
legacy_reused_holdout,1,bestCI,1,1,1.0,gamma,naive_km,1,1977,24.0,24.0,0.5671967772934626,0.1707205750152604
legacy_reused_holdout,1,bestCI,1,1,1.0,gamma,dynasurv,2,840,18.0,18.0,0.6765658268066275,0.1368194773569936
legacy_reused_holdout,1,bestCI,1,1,1.0,gamma,oracle,2,840,18.0,18.0,0.7052611091022118,0.1243957021105089
legacy_reused_holdout,1,bestCI,1,1,1.0,gamma,naive_km,2,840,18.0,18.0,0.580147925438807,0.1706593383990677
legacy_reused_holdout,1,bestCI,1,1,1.0,gamma,dynasurv,3,438,12.0,12.0,0.6631512739147291,0.1537011067502678
legacy_reused_holdout,1,bestCI,1,1,1.0,gamma,oracle,3,438,12.0,12.0,0.6861411700168426,0.1445177541095288
legacy_reused_holdout,1,bestCI,1,1,1.0,gamma,naive_km,3,438,12.0,12.0,0.5709991815708196,0.1755995380392346
legacy_reused_holdout,1,bestCI,1,1,1.0,gamma,dynasurv,4,198,12.0,12.0,0.6590618390473622,0.1225571119427365
legacy_reused_holdout,1,bestCI,1,1,1.0,gamma,oracle,4,198,12.0,12.0,0.7249858334270983,0.1154825869912746
legacy_reused_holdout,1,bestCI,1,1,1.0,gamma,naive_km,4,198,12.0,12.0,0.5218781974600029,0.1589222434644668
legacy_reused_holdout,1,bestCI,2,2,1.0,gamma,dynasurv,1,1977,24.0,24.0,0.690356128973294,0.1640915245237553
legacy_reused_holdout,1,bestCI,2,2,1.0,gamma,oracle,1,1977,24.0,24.0,0.7304918315901642,0.1368206673355218
