split,evaluation_protocol,eval_kind,seed,rep,level,axis,predictor,line,arm,kind,n,rmse_S,rmst_mae,rmst_bias
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,3,ET+ANTI-CDK wo CT,counterfactual,396,0.0,1.5121504924970616e-05,-1.346948487836245e-05
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,3,MONOCT std alone,counterfactual,163,0.0,1.694659316896653e-05,-1.6593598114092327e-05
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,3,POLYCT alone,counterfactual,336,0.0,1.6467555357601344e-05,-1.4293807191554217e-05
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,4,MONOCT std alone,factual,120,0.0,1.7457233659886235e-05,-1.4318099667990728e-05
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,4,POLYCT alone,factual,71,0.0,1.784545220938017e-05,-1.399721953875449e-05
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,4,MONOCT std alone,counterfactual,78,0.0,1.6372523109777258e-05,-1.542844712249966e-05
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,4,POLYCT alone,counterfactual,127,0.0,1.7581530962777353e-05,-1.2359764282622598e-05
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,all,ET alone,factual,487,0.0,9.149143935279495e-06,-8.448195069219898e-06
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,all,ET+ANTI-CDK wo CT,factual,1624,0.0,8.492717166482258e-06,-8.335039054504003e-06
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,all,MONOCT std alone,factual,880,0.0,1.423972341713451e-05,-1.3533143107891616e-05
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,all,POLYCT alone,factual,455,0.0,1.271680313126422e-05,-1.1081074280477215e-05
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,all,ET alone,counterfactual,2768,0.0,1.0309743704632013e-05,-9.78931708219842e-06
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,all,ET+ANTI-CDK wo CT,counterfactual,1631,0.0,1.060872332072051e-05,-9.77624790062928e-06
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,all,MONOCT std alone,counterfactual,2573,0.0,1.059160277738646e-05,-1.046889837350567e-05
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,all,POLYCT alone,counterfactual,2998,0.0,1.06435623413775e-05,-9.965638739352902e-06
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,1,ET alone,factual,337,0.1353365522121407,2.0071590928315253,0.3216366402609074
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,1,ET+ANTI-CDK wo CT,factual,1254,0.1255400288131145,2.0025928042356664,0.0582530031366387
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,1,MONOCT std alone,factual,207,0.1042642073908238,1.6310683055190476,0.6392515024137099
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,1,POLYCT alone,factual,179,0.1250272906223504,1.8994948388563293,0.2766170420406693
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,1,ET alone,counterfactual,1640,0.1378296328495528,2.07171295552832,0.6147065772850554
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,1,ET+ANTI-CDK wo CT,counterfactual,723,0.122823044461251,1.9743074628231965,-0.1455560841112039
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,1,MONOCT std alone,counterfactual,1770,0.1033259780863734,1.524718263371106,0.6175710701590437
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,1,POLYCT alone,counterfactual,1798,0.126601929577111,1.9352305735316424,0.255986623558101
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,2,ET alone,factual,131,0.188938210515228,2.3007710445332417,0.8056960574317392
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,2,ET+ANTI-CDK wo CT,factual,328,0.1649353395450104,2.0726369971557492,0.3493343502173975
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,2,MONOCT std alone,factual,278,0.1281989988982642,1.6314913859429496,0.2339639005153658
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,2,POLYCT alone,factual,103,0.1953616258866869,2.4070652123391665,0.528995746115075
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,2,ET alone,counterfactual,709,0.1730222697123163,2.1837591729058525,0.4151847999665598
