split,evaluation_protocol,eval_kind,seed,rep,level,axis,predictor,line,arm_a,arm_b,n,pehe,ate_true,ate_bias,sign_agree
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,3,MONOCT std alone,POLYCT alone,438,8.17713250417748e-06,-0.0927882242086732,-1.963556737025196e-06,1.0
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,4,MONOCT std alone,POLYCT alone,198,8.011145349205658e-06,-0.1923094042953779,-1.8085766897990576e-06,1.0
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,all,ET alone,ET+ANTI-CDK wo CT,3255,2.447951518433812e-06,-0.416891437060609,-5.314706395531665e-07,1.0
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,all,ET alone,MONOCT std alone,3255,3.179143829396938e-06,-0.0292229822594755,1.4479108854104084e-06,1.0
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,all,ET alone,POLYCT alone,3255,3.827978347474289e-06,-0.0947947052599254,3.51545439272738e-07,1.0
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,all,ET+ANTI-CDK wo CT,MONOCT std alone,3255,3.557678361641021e-06,0.3876684548011336,1.9793815249080637e-06,1.0
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,all,ET+ANTI-CDK wo CT,POLYCT alone,3255,4.16780714754975e-06,0.3220967318006836,8.830160788675379e-07,1.0
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,all,MONOCT std alone,POLYCT alone,3453,4.6419868447098245e-06,-0.072839044430046,-1.1372046660323989e-06,1.0
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,1,ET alone,ET+ANTI-CDK wo CT,1977,0.6421983694223572,-0.4960400903338258,0.5810309142106587,0.0
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,1,ET alone,MONOCT std alone,1977,1.0373771022423537,-0.0619052999364192,-0.0550913104024929,0.3282751643904906
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,1,ET alone,POLYCT alone,1977,1.6485489963745945,-0.0642551360720191,0.3068952629401473,0.5609509357612544
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,1,ET+ANTI-CDK wo CT,MONOCT std alone,1977,1.064566072623505,0.4341347903974065,-0.6361222246131516,0.2028325746079919
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,1,ET+ANTI-CDK wo CT,POLYCT alone,1977,1.59779525939236,0.4317849542618066,-0.2741356512705113,0.6944865958523014
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,1,MONOCT std alone,POLYCT alone,1977,1.5986324971814745,-0.0023498361355998,0.3619865733426402,0.3980778958017197
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,2,ET alone,ET+ANTI-CDK wo CT,840,0.8222584544753242,-0.313791536390043,-0.0256796196033294,0.6154761904761905
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,2,ET alone,MONOCT std alone,840,0.98843828051068,0.0283128301289796,0.2070145657827573,0.5869047619047619
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,2,ET alone,POLYCT alone,840,1.5684893721390232,-0.1718646581126685,0.3619881706814983,0.5083333333333333
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,2,ET+ANTI-CDK wo CT,MONOCT std alone,840,1.0759317709947231,0.3421043665190227,0.2326941853860868,0.7130952380952381
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,2,ET+ANTI-CDK wo CT,POLYCT alone,840,1.678339742477058,0.1419268782773745,0.3876677902848279,0.5666666666666667
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,2,MONOCT std alone,POLYCT alone,840,1.4982355700248529,-0.2001774882416481,0.1549736048987409,0.6214285714285714
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,3,ET alone,ET+ANTI-CDK wo CT,438,0.9791429487280444,-0.2573641061065591,-0.8456969597247623,0.728310502283105
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,3,ET alone,MONOCT std alone,438,0.8663799913709287,0.0079524963729796,-0.6615295954118673,0.4246575342465753
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,3,ET alone,POLYCT alone,438,1.0834556563981883,-0.0848357278356936,-0.5896413163872051,0.5251141552511416
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,3,ET+ANTI-CDK wo CT,MONOCT std alone,438,0.6107386933126253,0.2653166024795387,0.1841673643128948,0.8013698630136986
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,3,ET+ANTI-CDK wo CT,POLYCT alone,438,0.980482108557145,0.1725283782708654,0.2560556433375569,0.589041095890411
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,3,MONOCT std alone,POLYCT alone,438,0.917024471552622,-0.0927882242086732,0.0718882790246622,0.6095890410958904
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,4,MONOCT std alone,POLYCT alone,198,0.966607857615782,-0.1923094042953779,0.3755174056105752,0.3939393939393939
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,all,ET alone,ET+ANTI-CDK wo CT,3255,0.7442979665256337,-0.416891437060609,0.2324767952590566,0.2568356374807988
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,all,ET alone,MONOCT std alone,3255,1.0033750543302538,-0.0292229822594755,-0.0690547613513395,0.4079877112135177
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,all,ET alone,POLYCT alone,3255,1.5631717148880735,-0.0947947052599254,0.2004728422818845,0.5425499231950844
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,all,ET+ANTI-CDK wo CT,MONOCT std alone,3255,1.0184653374078445,0.3876684548011336,-0.3015315566103963,0.4150537634408602
