split,evaluation_protocol,eval_kind,seed,rep,level,axis,predictor,policy,line,n,value,regret,hit_rate,abstain_rate
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,dynasurv,line_only,3,438,9.72363664820242,0.2846851694780287,0.4589041095890411,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,dynasurv,line_only,4,198,9.134236751556225,0.3664966444016299,0.51010101010101,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,dynasurv,line_only,all,3453,17.144454563623405,0.4305389557496093,0.5111497248769187,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,dynasurv,supported,1,1977,20.861397650809344,0.4177597123885481,0.5629742033383915,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,dynasurv,supported,2,840,14.15821922707748,0.5474573762666929,0.4226190476190476,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,dynasurv,supported,3,438,9.723104364629169,0.2852174530512799,0.4497716894977169,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,dynasurv,supported,4,198,9.085985154619191,0.4147482413386616,0.3939393939393939,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,dynasurv,supported,all,3453,17.142667847876435,0.4323256714965818,0.5047784535186794,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,oracle,line_only,1,1977,21.27915736319789,0.0,1.0,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,oracle,line_only,2,840,14.705676603344171,0.0,1.0,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,oracle,line_only,3,438,10.008321817680446,0.0,1.0,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,oracle,line_only,4,198,9.500733395957855,0.0,1.0,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,oracle,line_only,all,3453,17.574993519373017,0.0,1.0,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,naive_km,line_only,1,1977,20.36842749192635,0.9107298712715366,0.0814365199797673,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,naive_km,line_only,2,840,13.991372124121114,0.7143044792230575,0.3976190476190476,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,naive_km,line_only,3,438,9.388461887764644,0.6198599299158023,0.1187214611872146,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,naive_km,line_only,4,198,8.983968552297696,0.5167648436601583,0.398989898989899,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,naive_km,line_only,all,3453,16.771533685489718,0.8034598338832983,0.1812916304662612,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,reference,random,1,1977,20.47385240617545,0.8053049570224423,0.25,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,reference,random,2,840,13.807032901613605,0.8986437017305691,0.25,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,reference,random,3,438,9.48016998683489,0.5281518308455603,0.25,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,reference,random,4,198,8.99267624689386,0.5080571490639937,0.3333333333333334,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,reference,random,all,3453,16.79918279625918,0.775810723113835,0.2547784535186794,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,reference,factual,1,1977,20.695870765786832,0.5768511099588963,0.4891249367728882,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,reference,factual,2,840,13.789496267191897,0.8580826855719403,0.2797619047619047,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,reference,factual,3,438,9.48351786348302,0.5594048485766956,0.2191780821917808,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,reference,factual,4,198,8.76137385609717,0.5949777946946898,0.2575757575757575,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,reference,factual,all,3453,16.90919380715742,0.6440918121330175,0.3906747755574862,0.0
